Unique Key;Created Date;Agency Name;Complaint Type;Incident Address;Status;Borough;Latitude;Longitude
61754152;2024-07-09 12:08:00;DEP;Water System;886 BROADWAY;Closed;BROOKLYN;40.698101841859376;-73.93725672896107
61754508;2024-07-09 12:01:06;HPD;APPLIANCE;204 EAST   96 STREET;Closed;BROOKLYN;40.66153484338518;-73.92196893141944
61754534;2024-07-09 23:54:14;HPD;ELECTRIC;460 WEST  149 STREET;Closed;MANHATTAN;40.82743255982856;-73.94495408753242
61754541;2024-07-09 09:40:24;HPD;ELECTRIC;2213 BATH AVENUE;Closed;BROOKLYN;40.59828839711001;-73.99694278645143
61754542;2024-07-09 23:48:13;HPD;ELECTRIC;2230 UNIVERSITY AVENUE;Closed;BRONX;40.85901181287443;-73.90829638668836
61754577;2024-07-09 23:26:48;HPD;HEAT/HOT WATER;109 LUDLOW STREET;Closed;MANHATTAN;40.71932169072983;-73.98875543013526
61754602;2024-07-09 12:01:06;HPD;PAINT/PLASTER;204 EAST   96 STREET;Closed;BROOKLYN;40.66153484338518;-73.92196893141944
61754616;2024-07-09 10:11:55;HPD;PAINT/PLASTER;664 EAST  213 STREET;Closed;BRONX;40.87952026199545;-73.86622985952741
61754623;2024-07-09 10:11:55;HPD;PAINT/PLASTER;664 EAST  213 STREET;Closed;BRONX;40.87952026199545;-73.86622985952741
61754644;2024-07-09 10:11:55;HPD;PLUMBING;664 EAST  213 STREET;Closed;BRONX;40.87952026199545;-73.86622985952741
61754658;2024-07-09 18:10:14;HPD;PLUMBING;1561 UNIONPORT ROAD;Closed;BRONX;40.83926628518858;-73.86143912103417
61754671;2024-07-09 11:15:53;HPD;UNSANITARY CONDITION;368 87 STREET;Closed;BROOKLYN;40.622312549346425;-74.02963574708608
61754686;2024-07-09 15:01:55;HPD;UNSANITARY CONDITION;88-73 193 STREET;Closed;QUEENS;40.71481493058528;-73.76802446320936
61754690;2024-07-09 12:01:06;HPD;UNSANITARY CONDITION;204 EAST   96 STREET;Closed;BROOKLYN;40.66153484338518;-73.92196893141944
61754702;2024-07-09 21:12:28;HPD;UNSANITARY CONDITION;330 EAST   19 STREET;Closed;BROOKLYN;40.64213527251177;-73.96073817503118
61754717;2024-07-09 10:11:55;HPD;UNSANITARY CONDITION;664 EAST  213 STREET;Closed;BRONX;40.87952026199545;-73.86622985952741
61754719;2024-07-09 10:45:54;HPD;UNSANITARY CONDITION;83 EAST   18 STREET;Closed;BROOKLYN;40.64915444013738;-73.96301158537081
61754730;2024-07-09 11:12:28;HPD;WATER LEAK;721 49 STREET;Closed;BROOKLYN;40.6426222171406;-74.00467714932387
61754753;2024-07-09 18:25:47;HPD;DOOR/WINDOW;54 ELDRIDGE STREET;Closed;MANHATTAN;40.7161106577715;-73.99299818460548
61754764;2024-07-09 12:01:06;HPD;APPLIANCE;204 EAST   96 STREET;Closed;BROOKLYN;40.66153484338518;-73.92196893141944
61402628;2024-06-07 12:49:34;NYPD;Encampment;125 EAST   17 STREET;Closed;MANHATTAN;40.735770843061886;-73.98711083761835
61402642;2024-06-07 12:48:26;DHS;Homeless Person Assistance;545 5 AVENUE;Closed;MANHATTAN;40.75516408387343;-73.97918797657142
61755725;2024-07-09 18:03:51;HPD;APPLIANCE;2056 HONEYWELL AVENUE;Closed;BRONX;40.84412375583244;-73.88314714774198
61755731;2024-07-09 21:12:28;HPD;DOOR/WINDOW;330 EAST   19 STREET;Closed;BROOKLYN;40.64213527251177;-73.96073817503118
61755739;2024-07-09 11:15:53;HPD;DOOR/WINDOW;368 87 STREET;Closed;BROOKLYN;40.622312549346425;-74.02963574708608
61755749;2024-07-09 21:55:07;HPD;ELECTRIC;76 ST NICHOLAS PLACE;Closed;MANHATTAN;40.829461589531974;-73.94079691863257
