SR_NUMBER;SR_SHORT_CODE;OWNER_DEPARTMENT;STATUS;CREATED_DATE;STREET_NUMBER;STREET_DIRECTION;STREET_NAME;STREET_TYPE;COMMUNITY_AREA;LATITUDE;LONGITUDE
SR20-05579683;SCQ;Streets and Sanitation;Completed;2020-12-06 08:28:04;5459;N;LONG;AVE;JEFFERSON PARK;41.981005702;-87.763222043
SR20-05579725;SGA;Streets and Sanitation;Completed;2020-12-06 08:44:32;2023;N;LECLAIRE;AVE;BELMONT CRAGIN;41.917568773;-87.753365161
SR20-05579745;SFD;CDOT - Department of Transportation;Completed;2020-12-06 08:54:38;3734;N;KEELER;AVE;IRVING PARK;41.949203997;-87.732386165
SR20-05579752;GRAF;Streets and Sanitation;Completed;2020-12-06 08:55:51;1558;N;MILWAUKEE;AVE;WEST TOWN;41.90964733;-87.676780334
SR20-05579756;GRAF;Streets and Sanitation;Completed;2020-12-06 08:56:49;1534;N;MILWAUKEE;AVE;WEST TOWN;41.909236739;-87.676164744
SR20-05579759;SGA;Streets and Sanitation;Completed;2020-12-06 08:57:50;6165;N;KILDARE;AVE;FOREST GLEN;41.993549287;-87.735861959
SR20-05579763;GRAF;Streets and Sanitation;Completed;2020-12-06 08:58:29;1529;N;MILWAUKEE;AVE;WEST TOWN;41.909398815;-87.67555867
SR20-05579789;GRAF;Streets and Sanitation;Completed;2020-12-06 09:03:49;1528;N;MILWAUKEE;AVE;WEST TOWN;41.909167282;-87.675982292
SR20-05579863;SKA;Streets and Sanitation;Completed;2020-12-06 09:21:09;4755;N;MAGNOLIA;AVE;UPTOWN;41.969009;-87.661291186
SR20-05579885;SFB;CDOT - Department of Transportation;Completed;2020-12-06 09:26:44;6158;N;CLARK;ST;EDGEWATER;41.994447604;-87.670155576
SR20-05579904;GRAF;Streets and Sanitation;Completed;2020-12-06 09:33:43;5334;N;MAGNOLIA;AVE;EDGEWATER;41.979203972;-87.661541732
SR20-05579910;SIE;Streets and Sanitation;Completed;2020-12-06 09:34:33;30;N;MAYFIELD;AVE;AUSTIN;41.881094275;-87.772164452
SR20-05579945;SGQ;Streets and Sanitation;Completed;2020-12-06 09:44:56;3207;N;PONTIAC;AVE;OHARE;41.937566947;-87.836065868
SR20-05579989;AAD;DWM - Department of Water Management;Canceled;2020-12-06 09:53:55;2503;N;DAMEN;AVE;LOGAN SQUARE;41.927340269;-87.678077828
SR20-05580007;SCQ;Streets and Sanitation;Completed;2020-12-06 09:59:21;6312;N;HERMITAGE;AVE;EDGEWATER;41.996015847;-87.673757466
SR20-05580022;PHB;CDOT - Department of Transportation;Completed;2020-12-06 10:04:48;4710;N;MAGNOLIA;AVE;UPTOWN;41.967572979;-87.661553087
SR20-05580032;SGA;Streets and Sanitation;Completed;2020-12-06 10:09:21;1651;N;LONG;AVE;AUSTIN;41.910992506;-87.76033989
SR20-05580048;SEL;Streets and Sanitation;Completed;2020-12-06 10:14:17;1617;N;KARLOV;AVE;HUMBOLDT PARK;41.910494854;-87.728507004
SR20-05580072;PHF;CDOT - Department of Transportation;Completed;2020-12-06 10:22:28;5838;N;OTTAWA;AVE;NORWOOD PARK;41.986300811;-87.818311694
SR20-05580078;SFB;CDOT - Department of Transportation;Completed;2020-12-06 10:25:14;105;N;MENARD;AVE;AUSTIN;41.882180883;-87.769832026
SR20-05580079;PCE;CDOT - Department of Transportation;Completed;2020-12-06 10:25:19;139;N;WESTERN;AVE;NEAR WEST SIDE;41.884186728;-87.686485833
SR20-05580115;SIE;Streets and Sanitation;Completed;2020-12-06 10:35:19;3857;N;KILDARE;AVE;IRVING PARK;41.951610542;-87.735052046
SR20-05580117;PHF;CDOT - Department of Transportation;Completed;2020-12-06 10:35:27;4459;N;LARAMIE;AVE;PORTAGE PARK;41.96247786;-87.757455825
SR20-05580129;SFD;CDOT - Department of Transportation;Completed;2020-12-06 10:38:58;3333;N;NOTTINGHAM;AVE;DUNNING;41.940813836;-87.804110499
SR20-05580137;SKA;Streets and Sanitation;Completed;2020-12-06 10:41:26;450;N;SPRINGFIELD;AVE;HUMBOLDT PARK;41.889602395;-87.723519378
